Hotel_Name,Rating,Comments,No_of_reviews,Price,Gst
The Medicity Hotel Gurgaon - near medanta hospital,8.7,Excellent,13 reviews,"₹19,440","+₹2,333 taxes and charges"
Maharaja Palace I Couple Friendly I Medanta Hospital I Gurgaon,9.1,Wonderful,15 reviews,"₹19,440","+₹2,333 taxes and charges"
Saltstayz Basil - Near Golf Course Road,8.1,Very Good,145 reviews,"₹19,706","+₹2,365 taxes and charges"
Very big hall for parties with bedroom,10,Exceptional,5 reviews,"₹19,996","+₹2,400 taxes and charges"
Kabul Hotel Medanta,7.5,Good,21 reviews,"₹20,061","+₹2,407 taxes and charges"
Treebo Trend Amexx Residency Sector 27,9.1,Wonderful,636 reviews,"₹20,099","+₹2,412 taxes and charges"
Plaza Residency,8.2,Very Good,4 reviews,"₹20,160","+₹2,419 taxes and charges"
FabHotel The Glory,8.0,Very Good,66 reviews,"₹20,238","+₹2,429 taxes and charges"
FabHotel Golf Inn,8.2,Very Good,38 reviews,"₹20,240","+₹2,669 taxes and charges"
"BedChambers Serviced Apartments, Sector 40",8.8,Excellent,35 reviews,"₹20,720",Additional charges may apply
Serviced Apartments in Gurgaon - One BHK,8.8,Excellent,60 reviews,"₹20,720",Additional charges may apply
Mod Avenue,8.0,Very Good,1 review,"₹20,800","+₹2,496 taxes and charges"
Rosa Gurugram,8.9,Excellent,18 reviews,"₹20,880","+₹2,506 taxes and charges"
Perch Arbor Suites,8.0,Very Good,112 reviews,"₹21,073","+₹2,529 taxes and charges"
Tavisha Villa,7.4,Good,78 reviews,"₹21,445","+₹6,862 taxes and charges"
Luxury Bed n Oats,9.2,Wonderful,6 reviews,"₹21,542","+₹2,585 taxes and charges"
BK Studio,8.0,Very Good,115 reviews,"₹21,564","+₹2,588 taxes and charges"
Hotel When In Gurgaon - Opposite to Artemis Hospital,7.9,Good,103 reviews,"₹21,600","+₹2,592 taxes and charges"
Square 9 Inn - Near Fortis &amp; Huda City Centre,8.0,Very Good,107 reviews,"₹21,829","+₹2,859 taxes and charges"
Hotel Amisa Golf Course Road MG Road,8.1,Very Good,18 reviews,"₹21,865","+₹6,997 taxes and charges"
"Inde Hotel Sec- 49, Golf Course Extension, Gurgaon",7.9,Good,55 reviews,"₹21,914","+₹2,630 taxes and charges"
Nook Inn &amp; Suites - MG ROAD METRO,7.7,Good,69 reviews,"₹22,040","+₹2,645 taxes and charges"
"Hostie Eva Dreams - Private 2 BHK Apartments near Artemis, Medanta, Fortis hospitals",8.4,Very Good,11 reviews,"₹22,200","+₹4,164 taxes and charges"
Kohsa7,8.4,Very Good,349 reviews,"₹22,394","+₹2,687 taxes and charges"
Hotel Keshav Residency near The Medicity Gurgaon - Couple Friendly,8.8,Excellent,85 reviews,"₹22,397","+₹2,688 taxes and charges"
WINDSOR CASTLE PREMIER,8.5,Very Good,2 reviews,"₹22,400","+₹2,688 taxes and charges"
Zen Farm Retreat,9.0,Wonderful,3 reviews,"₹22,464","+₹2,696 taxes and charges"
Treebo Trend Ahinsa Residency,8.1,Very Good,39 reviews,"₹22,569","+₹2,708 taxes and charges"
FlxHo Uno - Golf Course Road,7.0,Good,13 reviews,"₹22,576","+₹2,709 taxes and charges"
Hotel Windsor Castle Cyber City,7.8,Good,41 reviews,"₹22,800","+₹2,736 taxes and charges"
Saltstayz Executive Studio Apartment,9.4,Wonderful,60 reviews,"₹23,134","+₹2,776 taxes and charges"
Saltstayz Le Icon - Cyber Hub,8.6,Excellent,210 reviews,"₹23,134","+₹2,776 taxes and charges"
Hotel Olive Residency Near Cyber City Gurgaon Couple Friendy,8.5,Very Good,2 reviews,"₹23,322","+₹2,799 taxes and charges"
Olive Service Apartments - Artemis,8.9,Excellent,15 reviews,"₹23,681","+₹2,842 taxes and charges"
Olive Service Apartments - Golf Course Road,8.4,Very Good,29 reviews,"₹23,753","+₹2,850 taxes and charges"
"Lime Tree 1BHK Service Apartment Near Medanta Hospital, Gurgaon",9.1,Wonderful,8 reviews,"₹23,753","+₹2,850 taxes and charges"
FabHotel Soft Petals,8.6,Excellent,120 reviews,"₹23,760","+₹2,851 taxes and charges"
The Haan by Parfait Street,8.5,Very Good,2 reviews,"₹23,976","+₹2,877 taxes and charges"
GOA COUNTRY CLUB,7.3,Good,11 reviews,"₹24,000","+₹2,880 taxes and charges"
HOTEL ELITE 29,10,Exceptional,1 review,"₹24,000","+₹2,880 taxes and charges"
The Lodgers 1 BHK Serviced Apartment Golf Course Road Gurgaon,9.7,Exceptional,72 reviews,"₹24,201","+₹2,904 taxes and charges"
Gazebo Inn &amp; Suites Medanta,7.6,Good,88 reviews,"₹24,480","+₹2,938 taxes and charges"
Stay Studio Hotel &amp; Residences,8.4,Very Good,62 reviews,"₹24,634","+₹2,956 taxes and charges"
Perch Arbor-Golf Course Road,8.2,Very Good,64 reviews,"₹24,792","+₹2,975 taxes and charges"
"Lime Tree Hotel Pulkit Gurgaon-Artemis Hospital, Nearest Metro Huda City Centre",8.4,Very Good,379 reviews,"₹24,792","+₹2,975 taxes and charges"
Flora Residency,7.6,Good,416 reviews,"₹24,943","+₹2,993 taxes and charges"
"Park Serviced Apartment Sector 45, Gurgaon",10,Exceptional,1 review,"₹25,193","+₹3,023 taxes and charges"
Lime Tree 2 Bhk serviced Apartment Near Fortis Gurgaon,8.2,Very Good,66 reviews,"₹25,196","+₹3,024 taxes and charges"
METRO STUDIOS,8.4,Very Good,39 reviews,"₹25,920","+₹3,110 taxes and charges"
The Angel Hotel &amp; Suites,8.1,Very Good,103 reviews,"₹26,000","+₹3,120 taxes and charges"
Hotel Inaya Suites - Rooms with Bathtub,7.2,Good,13 reviews,"₹26,000","+₹3,120 taxes and charges"
BedChambers LUXE Apartments - MG Road,10,Exceptional,11 reviews,"₹26,168",Additional charges may apply
Lime Tree Luxury Studio,8.9,Excellent,38 reviews,"₹26,392","+₹3,167 taxes and charges"
Lime Tree Three BHK Serviced Apartment Near Artemis Hospital,8.8,Excellent,11 reviews,"₹26,996","+₹3,240 taxes and charges"
Sleepy Soul by STEPiNN,7.6,Good,39 reviews,"₹27,360","+₹3,283 taxes and charges"
YUHI SUITES,7.7,Good,23 reviews,"₹27,400","+₹3,288 taxes and charges"
Lime Tree Hospitality Three BHK Apartment Artemis Gurgaon,8.1,Very Good,29 reviews,"₹27,996","+₹3,360 taxes and charges"
Imperial Apartment Fortis,7.9,Good,20 reviews,"₹28,000","+₹3,360 taxes and charges"
Hotel Haris MG Road Gurugram,7.1,Good,20 reviews,"₹28,160","+₹3,379 taxes and charges"
Inde Hotel Signature Tower,7.4,Good,12 reviews,"₹28,314","+₹3,398 taxes and charges"
Studio Serviced Apartments near Fortis Hospital,8.3,Very Good,37 reviews,"₹28,372","+₹3,405 taxes and charges"
Maison 42- Onetreestays,7.6,Good,7 reviews,"₹28,512","+₹3,421 taxes and charges"
